image_name,target
ISIC_0052060,0.20077445
ISIC_0052349,0.24004449
ISIC_0058510,0.25945958
ISIC_0073313,0.24942648
ISIC_0073502,0.005154075
ISIC_0074618,0.27380523
ISIC_0076801,0.20189089
ISIC_0077586,0.0036537554
ISIC_0082004,0.0029142518
ISIC_0082785,0.6427273
ISIC_0085332,0.26327035
ISIC_0087243,0.17383239
ISIC_0088167,0.0021903056
ISIC_0089356,0.25184417
ISIC_0090283,0.0040224995
ISIC_0092481,0.2358834
ISIC_0095455,0.11477997
ISIC_0095790,0.21497567
ISIC_0097719,0.7028013
ISIC_0099348,0.9741374
ISIC_0101040,0.007234469
ISIC_0101383,0.08490517
ISIC_0105104,0.0034446404
ISIC_0108196,0.022688735
ISIC_0112420,0.98572665
ISIC_0114232,0.24161455
ISIC_0115798,0.23699707
ISIC_0116844,0.24345697
ISIC_0126432,0.07687072
ISIC_0131485,0.23773298
ISIC_0131912,0.22468218
ISIC_0131978,0.23431766
ISIC_0139322,0.005225611
ISIC_0142066,0.003645185
ISIC_0143109,0.005518248
ISIC_0148210,0.26808438
ISIC_0148937,0.17394353
ISIC_0150213,0.0019781017
ISIC_0152553,0.17462099
ISIC_0153127,0.17829792
ISIC_0154289,0.16396962
ISIC_0155813,0.9966929
ISIC_0155983,0.17063428
ISIC_0157088,0.112862945
ISIC_0158761,0.19295895
ISIC_0161963,0.0017714485
ISIC_0165178,0.05965177
ISIC_0165230,0.6970717
ISIC_0165615,0.25117388
ISIC_0165617,0.24090603
ISIC_0165674,0.24534099
ISIC_0165928,0.13311368
ISIC_0166561,0.22894488
ISIC_0168125,0.26556757
ISIC_0169378,0.24644114
ISIC_0169575,0.21949682
ISIC_0169906,0.5292727
ISIC_0171865,0.24083993
ISIC_0172678,0.24471968
ISIC_0174800,0.34880933
ISIC_0175014,0.41240633
ISIC_0175798,0.99985933
ISIC_0176152,0.15576564
ISIC_0177083,0.24059922
ISIC_0178235,0.4019499
ISIC_0178258,0.3067869
ISIC_0178428,0.6018968
ISIC_0178741,0.5546471
ISIC_0180057,0.1387579
ISIC_0182213,0.6663915
ISIC_0183334,0.21467339
ISIC_0183449,0.4866273
ISIC_0183658,0.1965942
ISIC_0183771,0.044343732
ISIC_0186715,0.5175691
ISIC_0187786,0.13901652
ISIC_0188485,0.100484565
ISIC_0191895,0.33839223
ISIC_0192184,0.2716093
ISIC_0192807,0.13655193
ISIC_0193289,0.45406383
ISIC_0194115,0.30586773
ISIC_0195744,0.2991642
ISIC_0195995,0.219815
ISIC_0196159,0.22479817
ISIC_0196622,0.19571257
ISIC_0196807,0.0049222163
ISIC_0197182,0.005995787
ISIC_0197440,0.0048207464
ISIC_0197860,0.3524986
ISIC_0198376,0.24819365
ISIC_0198622,0.22606197
ISIC_0199195,0.28492236
ISIC_0199718,0.18819788
ISIC_0199780,0.22415078
ISIC_0200120,0.56700456
ISIC_0204399,0.11378081
ISIC_0204875,0.24611045
ISIC_0205627,0.14837125
ISIC_0206261,0.19207266
ISIC_0206934,0.25760815
ISIC_0207197,0.54527277
ISIC_0208233,0.004080827
ISIC_0209640,0.2578135
ISIC_0210915,0.20936821
ISIC_0212435,0.2563809
ISIC_0212468,0.26953146
ISIC_0213848,0.25949007
ISIC_0216203,0.24422005
ISIC_0216447,0.45600045
ISIC_0220438,0.39283624
ISIC_0220466,0.0069242157
ISIC_0223354,0.12785716
ISIC_0223463,0.13354301
ISIC_0223760,0.23434827
ISIC_0224309,0.007428098
ISIC_0225471,0.22078447
ISIC_0225894,0.51797664
ISIC_0226234,0.23425174
ISIC_0227767,0.25436127
ISIC_0228452,0.051875748
ISIC_0229266,0.21038958
ISIC_0230247,0.1961777
ISIC_0230499,0.9220198
ISIC_0231539,0.26547936
ISIC_0231788,0.22745454
ISIC_0232763,0.9132766
ISIC_0235107,0.28666407
ISIC_0235501,0.30983368
ISIC_0235505,0.15871814
ISIC_0235542,0.3176363
ISIC_0238185,0.16351734
ISIC_0238872,0.44514528
ISIC_0239635,0.83615667
